,experiment,date,hour,device_make,platform_os,browser,aware
7342,control,2020-07-09,21,Generic Smartphone,6,Chrome Mobile,0
7343,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0
7348,control,2020-07-07,9,Samsung SM-G935F,6,Facebook,1
7355,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,0
7359,exposed,2020-07-08,8,Samsung SM-A750GN,6,Samsung Internet,0
7366,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7375,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,1
7411,control,2020-07-10,14,VFD 720,6,Facebook,0
7421,exposed,2020-07-06,8,Pixel 3a,6,Chrome Mobile WebView,1
7430,control,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,1
7436,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,0
7437,exposed,2020-07-06,9,Samsung SM-G975F,6,Chrome Mobile WebView,0
7444,control,2020-07-06,1,Samsung SM-J600FN,6,Samsung Internet,0
7451,exposed,2020-07-05,3,Samsung SM-G950F,6,Chrome Mobile WebView,0
7465,control,2020-07-04,11,iPhone,5,Chrome Mobile iOS,1
7470,exposed,2020-07-05,9,Generic Smartphone,6,Chrome Mobile,0
7475,control,2020-07-03,15,Samsung SM-G981B,6,Facebook,1
7479,exposed,2020-07-03,13,Generic Smartphone,6,Chrome Mobile WebView,0
7483,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7485,exposed,2020-07-06,2,Nokia undefined$2$3,6,Chrome Mobile,1
7489,control,2020-07-03,15,Samsung SM-G965F,6,Chrome Mobile WebView,1
7510,control,2020-07-08,14,Generic Smartphone,6,Chrome Mobile,0
7522,exposed,2020-07-10,4,Samsung SM-N960F,6,Chrome Mobile WebView,1
7535,exposed,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,1
7541,control,2020-07-03,15,MAR-LX1A,6,Facebook,1
7542,exposed,2020-07-09,21,Generic Smartphone,6,Chrome Mobile,1
7546,exposed,2020-07-10,4,Generic Smartphone,6,Chrome Mobile,1
7549,exposed,2020-07-03,12,Generic Smartphone,6,Chrome Mobile,0
7557,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0
7562,control,2020-07-07,7,Samsung SM-A405FN,6,Samsung Internet,0
7565,exposed,2020-07-03,4,Generic Smartphone,6,Chrome Mobile,0
7566,control,2020-07-08,21,Generic Smartphone,6,Chrome Mobile,1
7584,exposed,2020-07-07,22,Generic Smartphone,6,Chrome Mobile,0
7594,exposed,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,1
7596,exposed,2020-07-09,8,Pixel 2,6,Chrome Mobile WebView,0
7608,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,1
7610,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile,1
7622,exposed,2020-07-09,3,Samsung SM-J610G,6,Facebook,0
7626,control,2020-07-03,15,G3311,6,Facebook,1
7627,control,2020-07-08,15,FIG-LX1,6,Facebook,1
7634,exposed,2020-07-07,13,Samsung SM-A202F,6,Chrome Mobile WebView,1
7637,exposed,2020-07-06,5,VTR-L09,6,Facebook,0
7646,control,2020-07-09,20,POT-LX1,6,Facebook,0
7650,exposed,2020-07-04,13,VCE-L22,6,Facebook,1
7654,exposed,2020-07-09,21,Generic Smartphone,6,Chrome Mobile WebView,1
7657,control,2020-07-03,15,Pixel 2,6,Facebook,1
7670,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7675,control,2020-07-04,2,Samsung SM-G973F,6,Chrome Mobile WebView,1
7681,control,2020-07-03,15,Samsung SM-G930F,6,Samsung Internet,1
7684,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0
7689,exposed,2020-07-03,7,Generic Smartphone,6,Chrome Mobile,0
7692,exposed,2020-07-07,20,Samsung SM-G970F,6,Chrome Mobile WebView,1
7698,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7699,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,1
7703,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7718,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,0
7723,exposed,2020-07-09,13,Generic Smartphone,6,Chrome Mobile,1
7730,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7732,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,0
7734,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0
7735,control,2020-07-03,15,Samsung SM-A520F,6,Samsung Internet,0
7742,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile,0
7745,exposed,2020-07-08,4,Samsung SM-J530F,6,Samsung Internet,1
7755,exposed,2020-07-03,9,Generic Smartphone,6,Facebook,0
7762,control,2020-07-05,19,Samsung SM-G973F,6,Samsung Internet,0
7768,exposed,2020-07-08,14,Generic Smartphone,6,Chrome Mobile WebView,0
7782,exposed,2020-07-09,17,Samsung SM-G975F,6,Chrome Mobile WebView,1
7792,exposed,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,1
7793,control,2020-07-04,7,Samsung SM-G930F,6,Samsung Internet,0
7797,exposed,2020-07-03,8,Samsung SM-J530F,6,Chrome Mobile WebView,1
7799,control,2020-07-03,15,Samsung SM-N970F,6,Facebook,1
7803,exposed,2020-07-03,2,Samsung SM-A105FN,6,Samsung Internet,1
7807,exposed,2020-07-10,5,Samsung SM-G960F,6,Samsung Internet,0
7808,control,2020-07-06,3,Samsung SM-A105FN,6,Samsung Internet,1
7809,exposed,2020-07-05,13,Samsung SM-G950F,6,Chrome Mobile WebView,1
7821,control,2020-07-10,4,Samsung SM-A715F,6,Samsung Internet,1
7827,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,1
7828,control,2020-07-03,15,Samsung SM-G935F,6,Samsung Internet,1
7837,exposed,2020-07-03,5,Generic Smartphone,6,Chrome Mobile,0
7839,control,2020-07-03,15,Generic Smartphone,6,Facebook,0
7845,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7851,control,2020-07-08,9,Samsung SM-N975F,6,Samsung Internet,0
7852,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile,0
7856,control,2020-07-07,17,iPhone,5,Mobile Safari UI/WKWebView,0
7861,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
7874,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,0
7877,control,2020-07-07,1,Generic Smartphone,6,Chrome Mobile,0
7885,exposed,2020-07-05,10,Samsung SM-G950F,6,Chrome Mobile WebView,1
7886,control,2020-07-07,16,Generic Smartphone,6,Chrome Mobile,0
7889,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0
7890,control,2020-07-06,5,Generic Smartphone,6,Chrome Mobile,1
7898,exposed,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0
7901,exposed,2020-07-10,8,Samsung SM-A300FU,6,Chrome Mobile WebView,0
7902,exposed,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,0
7906,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7915,control,2020-07-04,2,Samsung SM-G930F,6,Facebook,0
7918,exposed,2020-07-04,13,VOG-L29,6,Chrome Mobile WebView,1
7919,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0
7925,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7937,control,2020-07-09,8,POT-LX1,6,Facebook,0
7938,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0
7940,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7944,control,2020-07-10,10,XiaoMi Redmi S2,6,Facebook,1
7962,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile WebView,1
7969,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,1
7975,control,2020-07-10,12,Samsung SM-A520F,6,Chrome Mobile WebView,0
7977,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1
7990,control,2020-07-05,3,Generic Smartphone,6,Chrome Mobile,0
7991,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0
8003,control,2020-07-05,4,CLT-L09,6,Chrome Mobile,0
8004,control,2020-07-03,15,Samsung SM-G975F,6,Samsung Internet,1
8010,control,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0
8016,exposed,2020-07-08,17,Samsung SM-G965F,6,Facebook,0
8021,exposed,2020-07-09,4,Generic Smartphone,6,Chrome Mobile WebView,1
8031,control,2020-07-10,1,Generic Smartphone,6,Chrome Mobile,1
8042,exposed,2020-07-09,14,Generic Smartphone,6,Chrome Mobile,1
8054,exposed,2020-07-10,8,Samsung SM-G973F,6,Samsung Internet,1
8058,exposed,2020-07-09,18,Generic Smartphone,6,Chrome Mobile,0
8059,exposed,2020-07-05,21,Generic Smartphone,6,Chrome Mobile,1
8063,exposed,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,1
8064,control,2020-07-09,7,Generic Smartphone,6,Chrome Mobile,0
8069,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0
8071,exposed,2020-07-03,4,Generic Smartphone,6,Chrome Mobile,0
